 ,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
639,26,359.538,384.385,24.971,0.524,2.270,0.441,0.684
640,1,365.500,379.500,2.828,1.000,1.000,1.000,1.000
641,2,106.000,380.500,4.243,1.000,2.000,0.500,1.000
642,5,181.300,381.100,7.071,1.000,1.553,0.644,0.909
643,1,79.500,381.500,2.828,1.000,1.000,1.000,1.000
644,100,127.210,389.120,51.012,0.483,2.308,0.433,0.712
645,5,230.900,382.700,7.657,1.000,1.553,0.644,0.909
646,21,270.500,383.500,15.314,1.000,1.000,1.000,0.913
647,8,316.000,382.000,9.657,1.000,2.000,0.500,1.000
648,5,321.100,382.300,7.657,1.000,1.553,0.644,0.909
649,7,51.786,384.500,9.071,1.000,1.069,0.936,0.875
650,24,139.167,385.333,17.899,0.941,1.358,0.737,0.889
651,7,349.214,384.500,8.485,1.000,1.069,0.936,0.875
652,11,368.318,385.318,11.899,0.976,1.035,0.966,0.846
653,4,35.250,385.750,7.657,0.857,2.000,0.500,0.800
654,58,156.379,390.621,34.627,0.608,1.258,0.795,0.725
655,3,329.167,384.833,5.657,1.000,1.464,0.683,0.857
656,3,45.833,386.167,5.657,1.000,1.464,0.683,0.857
657,18,96.611,387.944,15.314,0.965,1.137,0.879,0.878
658,3,224.833,386.167,5.657,1.000,1.464,0.683,0.857
659,2,176.500,387.000,4.828,1.000,2.000,0.500,1.000
660,12,382.750,389.167,11.899,1.000,1.135,0.881,0.857
661,28,111.321,391.857,25.213,0.553,2.115,0.473,0.727
662,25,201.820,390.620,18.728,0.896,1.261,0.793,0.893
663,11,228.136,390.773,11.899,0.976,1.269,0.788,0.815
664,16,17.000,392.000,14.728,0.927,1.519,0.658,0.842
665,22,194.182,392.545,17.314,0.922,1.716,0.583,0.880
666,3,237.167,391.167,5.657,1.000,1.464,0.683,0.857
667,51,265.069,395.049,26.385,0.921,1.198,0.834,0.879
668,23,308.978,393.804,19.799,0.737,1.400,0.715,0.754
669,87,373.810,396.155,49.698,0.443,1.983,0.504,0.664
670,3,220.833,392.167,5.657,1.000,1.464,0.683,0.857
671,29,340.017,394.466,20.142,0.898,1.470,0.680,0.841
