 ,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
251,1,126.500,170.500,2.828,1.000,1.000,1.000,1.000
252,8,318.000,171.500,9.899,1.000,1.195,0.837,0.800
253,14,220.214,173.000,12.485,1.000,1.020,0.981,0.933
254,6,133.000,173.500,7.657,1.000,1.500,0.667,1.000
255,1,166.500,172.500,2.828,1.000,1.000,1.000,1.000
256,3,164.167,175.833,5.657,1.000,1.464,0.683,0.857
257,10,1.400,179.300,11.071,1.000,1.288,0.776,0.909
258,2,150.500,178.000,4.828,1.000,2.000,0.500,1.000
259,30,327.700,179.433,24.971,0.605,2.033,0.492,0.769
260,22,114.000,182.773,16.142,1.000,1.176,0.850,0.880
261,5,303.100,181.300,7.657,1.000,1.553,0.644,0.909
262,2,61.000,181.500,4.243,1.000,2.000,0.500,1.000
263,19,261.763,184.289,15.899,0.944,1.186,0.843,0.864
264,2,0.500,184.000,4.828,1.000,2.000,0.500,1.000
265,2,121.000,183.500,4.243,1.000,2.000,0.500,1.000
266,6,294.500,184.000,7.657,1.000,1.500,0.667,1.000
267,4,4.000,186.000,5.657,1.000,1.000,1.000,1.000
268,21,184.738,188.119,17.556,0.856,1.664,0.601,0.808
269,1,199.500,185.500,2.828,1.000,1.000,1.000,1.000
270,6,65.500,187.333,8.485,1.000,1.809,0.553,0.800
271,51,177.069,191.912,38.284,0.437,2.125,0.471,0.650
272,2,279.500,189.000,4.828,1.000,2.000,0.500,1.000
273,3,24.167,189.833,5.657,1.000,1.464,0.683,0.857
274,10,79.700,191.100,16.142,0.482,2.827,0.354,0.588
275,4,360.000,190.000,5.657,1.000,1.000,1.000,1.000
276,2,55.500,191.000,4.828,1.000,2.000,0.500,1.000
277,1,286.500,191.500,2.828,1.000,1.000,1.000,1.000
278,19,302.711,194.553,14.728,1.000,1.380,0.725,0.884
279,1,308.500,192.500,2.828,1.000,1.000,1.000,1.000
280,17,390.029,195.324,15.899,0.845,1.803,0.555,0.850
281,1,58.500,193.500,2.828,1.000,1.000,1.000,1.000
282,11,212.591,195.227,12.485,0.887,1.892,0.528,0.880
283,2,270.500,195.000,4.828,1.000,2.000,0.500,1.000
284,4,143.000,196.000,5.657,1.000,1.000,1.000,1.000
285,2,332.000,196.500,4.243,1.000,2.000,0.500,1.000
286,9,375.500,197.500,9.657,1.000,1.000,1.000,1.000
287,8,237.500,198.750,10.485,0.914,1.554,0.644,0.800
288,16,73.500,200.000,13.314,1.000,1.209,0.827,0.889
289,2,116.500,199.000,4.828,1.000,2.000,0.500,1.000
290,16,404.188,200.312,13.899,1.000,1.292,0.774,0.889
291,5,134.300,200.900,7.071,1.000,1.553,0.644,0.909
292,8,285.375,201.625,9.071,1.000,1.229,0.814,0.941
293,1,296.500,203.500,2.828,1.000,1.000,1.000,1.000
294,5,179.500,205.500,8.485,0.873,1.000,1.000,0.714
295,4,240.000,205.000,5.657,1.000,1.000,1.000,1.000
296,12,352.083,206.250,11.899,1.000,1.281,0.780,0.857
297,4,382.000,205.000,5.657,1.000,1.000,1.000,1.000
298,8,245.250,206.125,10.485,0.914,1.435,0.697,0.842
299,5,262.500,206.500,8.485,0.873,1.000,1.000,0.714
300,1,29.500,206.500,2.828,1.000,1.000,1.000,1.000
301,4,120.000,207.000,5.657,1.000,1.000,1.000,1.000
302,9,140.500,207.500,9.657,1.000,1.000,1.000,1.000
303,1,232.500,206.500,2.828,1.000,1.000,1.000,1.000
304,14,256.786,208.000,12.485,1.000,1.020,0.981,0.933
305,2,16.500,208.000,4.828,1.000,2.000,0.500,1.000
306,2,395.000,207.500,4.243,1.000,2.000,0.500,1.000
307,13,404.500,209.808,13.071,0.956,1.551,0.645,0.929
308,21,2.690,210.548,15.899,1.000,1.182,0.846,0.913
309,108,332.824,214.250,46.527,0.627,1.288,0.776,0.815
310,51,29.892,215.461,27.556,0.844,1.798,0.556,0.895
311,16,66.938,212.875,14.485,0.958,1.233,0.811,0.914
312,22,256.818,215.182,16.728,0.988,1.399,0.715,0.863
313,16,139.688,215.000,13.899,1.000,1.371,0.729,0.889
314,1,193.500,214.500,2.828,1.000,1.000,1.000,1.000
315,75,274.367,221.020,36.042,0.726,1.969,0.508,0.820
316,58,296.224,219.224,28.627,0.889,1.399,0.715,0.866
317,1,186.500,215.500,2.828,1.000,1.000,1.000,1.000
318,88,51.227,222.636,36.627,0.824,1.465,0.682,0.880
319,1,242.500,216.500,2.828,1.000,1.000,1.000,1.000
320,2,391.500,217.000,4.828,1.000,2.000,0.500,1.000
321,2,69.000,217.500,4.243,1.000,2.000,0.500,1.000
322,5,122.100,218.300,7.657,1.000,1.553,0.644,0.909
323,16,151.750,219.000,15.899,0.795,1.439,0.695,0.842
324,43,248.384,222.337,31.799,0.534,2.561,0.391,0.723
325,3,0.833,218.833,5.657,1.000,1.464,0.683,0.857
326,15,94.233,220.167,13.899,0.976,1.186,0.843,0.882
327,2,282.000,218.500,4.243,1.000,2.000,0.500,1.000
328,75,305.207,225.527,40.042,0.588,2.682,0.373,0.820
329,15,345.033,220.633,13.899,0.976,1.759,0.569,0.882
330,2,84.000,219.500,4.243,1.000,2.000,0.500,1.000
331,4,182.000,220.000,5.657,1.000,1.000,1.000,1.000
332,3,222.167,220.833,5.657,1.000,1.464,0.683,0.857
333,70,394.657,227.357,43.698,0.461,1.361,0.735,0.707
334,109,159.619,226.032,51.355,0.519,2.050,0.488,0.770
335,6,197.500,222.000,7.657,1.000,1.500,0.667,1.000
336,10,182.000,224.000,11.314,0.982,1.316,0.760,0.769
337,3,279.167,224.167,5.657,1.000,1.464,0.683,0.857
338,2,376.500,224.000,4.828,1.000,2.000,0.500,1.000
339,8,12.625,225.375,9.071,1.000,1.229,0.814,0.941
340,11,23.955,226.227,13.314,0.780,1.498,0.668,0.733
341,1,369.500,224.500,2.828,1.000,1.000,1.000,1.000
342,6,148.000,226.500,7.657,1.000,1.500,0.667,1.000
343,3,350.167,225.833,5.657,1.000,1.464,0.683,0.857
344,19,37.553,228.974,16.728,0.853,1.447,0.691,0.809
345,7,338.500,228.214,9.071,1.000,1.069,0.936,0.875
346,51,288.108,232.069,25.556,0.981,1.052,0.950,0.911
347,41,192.207,232.012,28.385,0.639,1.921,0.521,0.804
348,7,404.500,230.214,9.071,1.000,1.069,0.936,0.875
349,3,249.167,231.167,5.657,1.000,1.464,0.683,0.857
350,1,345.500,231.500,2.828,1.000,1.000,1.000,1.000
351,19,367.658,233.658,14.728,1.000,1.161,0.861,0.884
352,1,378.500,231.500,2.828,1.000,1.000,1.000,1.000
353,23,43.674,235.630,18.485,0.846,1.998,0.500,0.902
354,7,61.500,234.071,11.071,0.718,1.918,0.521,0.778
355,3,79.167,233.833,5.657,1.000,1.464,0.683,0.857
356,16,301.625,235.500,14.142,1.000,1.452,0.689,0.821
357,37,380.338,236.500,23.556,0.838,1.643,0.609,0.871
358,22,73.182,237.000,17.314,0.922,1.600,0.625,0.863
359,10,404.500,236.300,11.071,1.000,1.236,0.809,0.909
360,15,187.633,237.033,13.314,1.000,1.127,0.887,0.857
361,11,256.409,236.864,11.071,1.000,1.372,0.729,0.957
362,3,97.833,239.167,5.657,1.000,1.464,0.683,0.857
363,36,206.889,241.806,22.971,0.857,1.209,0.827,0.837
364,1,245.500,238.500,2.828,1.000,1.000,1.000,1.000
365,3,314.833,238.833,5.657,1.000,1.464,0.683,0.857
366,39,13.859,243.397,25.799,0.736,1.746,0.573,0.780
367,29,278.569,242.879,20.728,0.848,2.051,0.488,0.866
368,25,325.220,241.940,18.142,0.954,1.314,0.761,0.847
369,2,79.000,240.500,4.243,1.000,2.000,0.500,1.000
370,12,88.000,242.000,11.314,1.000,1.000,1.000,0.857
371,4,227.000,241.000,5.657,1.000,1.000,1.000,1.000
372,1,376.500,240.500,2.828,1.000,1.000,1.000,1.000
373,11,346.864,242.591,11.071,1.000,1.372,0.729,0.957
374,2,42.000,242.500,4.243,1.000,2.000,0.500,1.000
375,70,159.543,247.514,30.142,0.968,1.026,0.975,0.940
376,5,194.500,245.500,8.485,0.873,1.000,1.000,0.714
377,17,399.559,246.676,14.728,0.985,1.209,0.827,0.829
378,7,57.500,246.500,8.485,1.000,1.596,0.626,0.875
379,12,137.000,248.167,11.899,1.000,1.281,0.781,0.857
380,60,180.967,250.517,34.385,0.638,2.452,0.408,0.774
381,2,115.500,248.000,4.828,1.000,2.000,0.500,1.000
382,5,378.500,248.500,8.485,0.873,1.000,1.000,0.714
383,9,321.500,249.500,9.657,1.000,1.000,1.000,1.000
384,18,268.889,252.222,15.314,0.965,1.416,0.706,0.878
385,6,334.333,250.667,8.485,1.000,1.291,0.775,0.800
386,49,357.704,254.622,28.627,0.751,1.500,0.667,0.797
387,15,4.033,252.433,17.314,0.629,2.769,0.361,0.682
388,14,126.000,252.000,12.485,1.000,1.319,0.758,0.933
389,10,148.900,252.200,11.899,0.887,1.854,0.539,0.800
390,42,252.167,253.024,25.799,0.793,1.355,0.738,0.816
391,14,404.714,252.500,15.071,0.775,2.111,0.474,0.903
392,4,53.000,252.000,5.657,1.000,1.000,1.000,1.000
393,2,120.500,252.000,4.828,1.000,2.000,0.500,1.000
394,4,302.000,253.000,5.657,1.000,1.000,1.000,1.000
395,64,371.953,257.438,29.556,0.921,1.289,0.776,0.914
396,12,100.917,254.750,11.899,1.000,1.281,0.780,0.857
397,10,397.500,254.700,11.071,1.000,1.236,0.809,0.909
398,6,143.833,255.333,9.071,0.916,1.124,0.890,0.800
399,53,208.198,258.594,26.042,0.982,1.224,0.817,0.876
400,8,306.625,255.375,9.071,1.000,1.229,0.814,0.941
401,4,311.500,255.250,7.071,1.000,1.468,0.681,0.800
402,7,130.214,256.500,8.485,1.000,1.069,0.936,0.875
403,39,331.244,260.885,27.799,0.634,1.491,0.671,0.796
404,8,381.250,257.000,11.314,0.785,2.677,0.374,0.727
405,9,393.167,256.611,10.485,1.000,1.340,0.746,0.857
406,14,21.000,258.000,12.485,1.000,1.319,0.758,0.933
407,54,234.852,259.574,28.142,0.857,1.104,0.906,0.885
408,2,107.500,258.000,4.828,1.000,2.000,0.500,1.000
409,19,139.132,259.500,15.314,1.000,1.244,0.804,0.884
410,5,173.100,258.700,7.657,1.000,1.553,0.644,0.909
411,11,118.591,260.136,11.071,1.000,1.372,0.729,0.957
412,2,285.000,258.500,4.243,1.000,2.000,0.500,1.000
413,187,351.928,271.794,88.326,0.301,2.027,0.493,0.583
414,13,98.500,264.192,13.071,0.956,1.551,0.645,0.929
415,24,149.500,265.000,16.728,1.000,1.144,0.874,0.889
416,2,365.500,263.000,4.828,1.000,2.000,0.500,1.000
417,90,275.622,270.089,41.213,0.666,1.894,0.528,0.833
418,4,137.000,266.000,5.657,1.000,1.000,1.000,1.000
419,4,8.000,267.000,5.657,1.000,1.000,1.000,1.000
420,1,15.500,266.500,2.828,1.000,1.000,1.000,1.000
421,21,61.119,268.548,19.556,0.690,1.942,0.515,0.764
422,5,218.500,267.500,8.485,0.873,1.000,1.000,0.714
423,8,334.750,267.375,9.899,1.000,1.939,0.516,0.842
424,1,290.500,267.500,2.828,1.000,1.000,1.000,1.000
425,5,400.900,268.700,7.657,1.000,1.553,0.644,0.909
426,19,305.763,270.868,15.314,1.000,1.111,0.900,0.884
427,14,324.500,269.643,13.314,0.993,1.460,0.685,0.848
428,17,392.971,270.853,15.314,0.911,1.526,0.655,0.850
429,7,233.500,270.786,9.071,1.000,1.069,0.936,0.875
430,1,251.500,269.500,2.828,1.000,1.000,1.000,1.000
431,2,195.500,271.000,4.828,1.000,2.000,0.500,1.000
432,9,35.056,272.833,11.314,0.884,1.390,0.720,0.750
433,2,39.500,272.000,4.828,1.000,2.000,0.500,1.000
434,21,260.262,273.262,16.728,0.943,1.167,0.857,0.840
435,5,61.100,273.700,7.657,1.000,1.553,0.644,0.909
436,1,311.500,274.500,2.828,1.000,1.000,1.000,1.000
437,1,98.500,275.500,2.828,1.000,1.000,1.000,1.000
438,69,138.312,279.703,30.627,0.924,1.206,0.829,0.868
439,8,166.375,276.625,9.071,1.000,1.229,0.814,0.941
440,13,71.962,278.115,11.899,1.000,1.450,0.690,0.897
441,5,311.900,277.700,7.657,1.000,1.553,0.644,0.909
442,16,40.312,278.812,13.899,1.000,1.292,0.774,0.889
443,37,51.203,280.203,21.799,0.978,1.501,0.666,0.871
444,44,288.773,284.432,37.456,0.394,2.707,0.369,0.642
445,5,323.700,277.900,7.657,1.000,1.553,0.644,0.909
446,25,213.620,280.780,19.556,0.821,2.073,0.482,0.820
447,22,392.545,280.773,16.485,1.000,1.083,0.923,0.936
448,27,34.907,283.167,20.728,0.790,1.856,0.539,0.844
449,51,124.010,284.539,25.799,0.963,1.158,0.864,0.872
450,43,155.430,283.686,23.556,0.974,1.157,0.864,0.887
451,10,273.300,281.400,11.071,1.000,1.288,0.776,0.909
452,19,371.500,281.974,21.556,0.514,2.595,0.385,0.691
453,15,353.767,284.833,13.899,0.976,1.186,0.843,0.882
454,9,386.167,283.944,10.485,1.000,1.536,0.651,0.857
455,9,112.389,284.833,10.485,1.000,1.340,0.746,0.857
456,51,326.520,287.127,27.799,0.829,1.292,0.774,0.829
457,2,64.500,285.000,4.828,1.000,2.000,0.500,1.000
458,5,237.100,285.700,7.657,1.000,1.553,0.644,0.909
459,17,163.676,287.147,15.314,0.911,1.241,0.806,0.850
460,106,12.821,292.396,38.284,0.909,1.107,0.903,0.891
461,57,48.149,289.570,34.627,0.597,2.316,0.432,0.735
462,15,256.433,288.100,12.728,1.000,1.295,0.772,0.857
463,2,319.500,287.000,4.828,1.000,2.000,0.500,1.000
464,4,176.000,288.000,5.657,1.000,1.000,1.000,1.000
465,70,242.000,292.614,31.456,0.889,1.614,0.620,0.848
466,2,343.500,288.000,4.828,1.000,2.000,0.500,1.000
467,3,78.833,288.833,5.657,1.000,1.464,0.683,0.857
468,1,189.500,288.500,2.828,1.000,1.000,1.000,1.000
469,6,367.667,290.667,8.485,1.000,1.291,0.775,0.800
470,4,191.500,291.000,7.071,1.000,2.031,0.492,0.800
471,19,400.342,293.342,14.728,1.000,1.161,0.861,0.884
472,2,169.000,292.500,4.243,1.000,2.000,0.500,1.000
473,24,69.167,295.375,16.728,1.000,1.222,0.818,0.906
474,1,73.500,294.500,2.828,1.000,1.000,1.000,1.000
475,58,185.862,299.517,41.113,0.431,1.920,0.521,0.648
476,12,252.500,297.000,11.657,1.000,1.333,0.750,1.000
477,3,52.167,297.167,5.657,1.000,1.464,0.683,0.857
478,1,151.500,296.500,2.828,1.000,1.000,1.000,1.000
479,2,293.000,296.500,4.243,1.000,2.000,0.500,1.000
480,18,322.944,298.389,15.314,0.965,1.137,0.879,0.878
481,1,357.500,296.500,2.828,1.000,1.000,1.000,1.000
482,66,302.742,302.667,34.627,0.692,1.190,0.841,0.790
483,26,377.577,300.654,20.142,0.805,1.379,0.725,0.825
484,4,132.000,300.000,5.657,1.000,1.000,1.000,1.000
485,16,147.312,300.812,13.899,1.000,1.292,0.774,0.889
486,1,15.500,300.500,2.828,1.000,1.000,1.000,1.000
487,4,107.750,301.500,7.657,0.857,1.468,0.681,0.800
488,2,280.000,301.000,5.657,0.785,2.646,0.378,0.667
489,21,135.071,303.548,16.142,1.000,1.426,0.701,0.840
490,6,226.667,302.333,8.485,1.000,1.291,0.775,0.800
491,95,237.205,308.237,40.870,0.715,1.225,0.816,0.812
492,6,254.667,302.333,8.485,1.000,1.291,0.775,0.800
493,1,114.500,302.500,2.828,1.000,1.000,1.000,1.000
494,5,386.700,303.100,7.657,1.000,1.553,0.644,0.909
495,1,31.500,303.500,2.828,1.000,1.000,1.000,1.000
496,54,153.741,307.074,31.799,0.671,2.042,0.490,0.806
497,13,271.115,306.423,13.314,0.922,1.287,0.777,0.812
498,24,375.417,307.208,19.556,0.789,1.991,0.502,0.774
499,4,98.500,305.750,7.071,1.000,1.468,0.681,0.800
500,14,169.500,307.500,13.314,0.993,1.326,0.754,0.875
501,19,334.816,308.711,15.899,0.944,1.571,0.636,0.884
502,2,17.500,309.000,4.828,1.000,2.000,0.500,1.000
503,39,181.295,312.295,28.385,0.608,1.817,0.550,0.788
504,24,404.083,311.208,19.314,0.809,1.428,0.700,0.857
505,4,192.000,310.000,5.657,1.000,1.000,1.000,1.000
506,7,316.500,311.500,8.485,1.000,1.596,0.626,0.875
507,65,95.100,317.023,33.799,0.715,1.192,0.839,0.844
508,85,166.735,316.171,42.870,0.581,1.287,0.777,0.829
509,1,271.500,311.500,2.828,1.000,1.000,1.000,1.000
510,38,110.974,315.447,22.971,0.905,1.318,0.759,0.835
511,2,186.000,312.500,4.243,1.000,2.000,0.500,1.000
512,6,193.667,313.333,8.485,1.000,1.291,0.775,0.800
513,4,358.000,313.000,5.657,1.000,1.000,1.000,1.000
514,42,126.762,317.881,23.799,0.932,1.525,0.656,0.875
515,3,25.833,316.167,5.657,1.000,1.464,0.683,0.857
516,7,227.500,316.786,9.071,1.000,1.069,0.936,0.875
517,1,397.500,315.500,2.828,1.000,1.000,1.000,1.000
518,7,285.500,317.500,8.485,1.000,1.596,0.626,0.875
519,4,336.000,318.500,7.657,0.857,2.031,0.492,0.800
520,4,143.750,318.750,7.657,0.857,2.000,0.500,0.800
521,4,316.000,319.000,5.657,1.000,1.000,1.000,1.000
522,2,248.500,320.000,4.828,1.000,2.000,0.500,1.000
523,67,31.545,324.634,29.799,0.948,1.265,0.791,0.912
524,3,54.833,320.833,5.657,1.000,1.464,0.683,0.857
525,1,131.500,320.500,2.828,1.000,1.000,1.000,1.000
526,26,382.538,322.808,18.142,0.993,1.415,0.707,0.881
527,12,318.000,324.167,11.899,1.000,1.281,0.781,0.857
528,43,41.942,328.523,26.385,0.776,1.616,0.619,0.835
529,64,64.016,329.766,31.213,0.825,1.211,0.826,0.826
530,46,201.652,328.609,27.799,0.748,1.703,0.587,0.852
531,8,253.625,326.375,9.071,1.000,1.229,0.814,0.941
532,16,146.250,328.750,15.899,0.795,2.276,0.439,0.842
533,20,260.150,330.200,18.142,0.764,1.757,0.569,0.784
534,13,322.115,329.038,13.899,0.846,1.294,0.773,0.867
535,2,272.000,328.500,4.243,1.000,2.000,0.500,1.000
536,73,394.349,336.116,37.213,0.662,2.301,0.435,0.825
537,24,158.208,333.333,21.314,0.664,2.457,0.407,0.814
538,83,21.295,334.211,40.284,0.643,1.598,0.626,0.843
539,30,179.167,333.000,19.314,1.000,1.062,0.942,0.909
